row,arm,seed,finalRange,collisionStepFraction,threatStepFraction,fieldBakes,meanFieldSpacing,meanTerminalCost
minefield-transit,BothOn,1234,0.82,0.0000,0.0000,68,4.11,0.561
minefield-transit,BothOn,7,0.73,0.0000,0.0000,68,4.12,0.548
minefield-transit,BothOn,99,0.17,0.0000,0.0000,68,4.11,0.768
minefield-transit,FieldOff,1234,79.37,0.0000,0.0000,68,4.15,0.000
minefield-transit,FieldOff,7,1.25,0.0000,0.0000,68,4.17,0.000
minefield-transit,FieldOff,99,0.68,0.0000,0.0000,68,4.41,0.000
minefield-transit,TurnAwayOff,1234,2.10,0.0000,0.0000,68,4.11,0.922
minefield-transit,TurnAwayOff,7,0.73,0.0000,0.0000,68,4.12,0.548
minefield-transit,TurnAwayOff,99,0.17,0.0000,0.0000,68,4.11,0.768
minefield-transit,BothOff,1234,0.40,0.0000,0.0000,68,4.11,0.000
minefield-transit,BothOff,7,1.25,0.0000,0.0000,68,4.17,0.000
minefield-transit,BothOff,99,0.95,0.0000,0.0000,68,4.41,0.000
field-authority,BothOn,1234,0.69,0.0000,0.0110,50,4.01,0.888
field-authority,BothOn,7,1.49,0.0000,0.0110,50,4.01,1.046
field-authority,BothOn,99,0.24,0.0000,0.0110,50,4.02,1.102
field-authority,FieldOff,1234,0.44,0.0000,0.0150,50,4.01,0.000
field-authority,FieldOff,7,0.72,0.0000,0.0150,50,4.01,0.000
field-authority,FieldOff,99,0.78,0.0000,0.0090,50,4.01,0.000
field-authority,TurnAwayOff,1234,0.61,0.0000,0.0120,50,4.01,0.730
field-authority,TurnAwayOff,7,0.69,0.0000,0.0110,50,4.01,0.821
field-authority,TurnAwayOff,99,1.95,0.0000,0.0110,50,4.02,1.131
field-authority,BothOff,1234,0.16,0.0000,0.0190,50,4.01,0.000
field-authority,BothOff,7,1.38,0.0000,0.0140,50,4.01,0.000
field-authority,BothOff,99,0.27,0.0000,0.0220,50,4.01,0.000
cover-take,BothOn,1234,47.86,0.0000,0.0000,55,4.00,0.000
cover-take,BothOn,7,50.30,0.0000,0.0000,55,4.00,0.014
cover-take,BothOn,99,48.05,0.0000,0.0000,55,4.00,0.008
cover-take,FieldOff,1234,50.19,0.0000,0.0000,55,4.00,0.000
cover-take,FieldOff,7,49.58,0.0000,0.0000,55,4.00,0.000
cover-take,FieldOff,99,50.42,0.0000,0.0000,55,4.00,0.000
cover-take,TurnAwayOff,1234,48.81,0.0000,0.0000,55,4.00,0.007
cover-take,TurnAwayOff,7,48.64,0.0000,0.0000,55,4.00,0.038
cover-take,TurnAwayOff,99,48.05,0.0000,0.0000,55,4.00,0.008
cover-take,BothOff,1234,48.68,0.0000,0.0000,55,4.00,0.000
cover-take,BothOff,7,50.32,0.0000,0.0000,55,4.00,0.000
cover-take,BothOff,99,44.89,0.0000,0.0000,55,4.00,0.000
herd-toward-asteroid,BothOn,1234,21.21,0.0000,0.0000,55,4.00,0.000
herd-toward-asteroid,BothOn,7,22.01,0.0000,0.0000,55,4.00,0.000
herd-toward-asteroid,BothOn,99,22.53,0.0000,0.0000,55,4.00,0.000
herd-toward-asteroid,FieldOff,1234,21.21,0.0000,0.0000,55,4.00,0.000
herd-toward-asteroid,FieldOff,7,22.01,0.0000,0.0000,55,4.00,0.000
herd-toward-asteroid,FieldOff,99,22.53,0.0000,0.0000,55,4.00,0.000
herd-toward-asteroid,TurnAwayOff,1234,21.21,0.0000,0.0000,55,4.00,0.000
herd-toward-asteroid,TurnAwayOff,7,22.01,0.0000,0.0000,55,4.00,0.000
herd-toward-asteroid,TurnAwayOff,99,22.53,0.0000,0.0000,55,4.00,0.000
herd-toward-asteroid,BothOff,1234,21.21,0.0000,0.0000,55,4.00,0.000
herd-toward-asteroid,BothOff,7,22.01,0.0000,0.0000,55,4.00,0.000
herd-toward-asteroid,BothOff,99,22.53,0.0000,0.0000,55,4.00,0.000
shoot-the-rock,BothOn,1234,19.07,0.0000,0.0000,55,4.00,4.056
shoot-the-rock,BothOn,7,18.39,0.0000,0.0000,55,4.00,1.796
shoot-the-rock,BothOn,99,18.19,0.0000,0.0000,55,4.00,3.793
shoot-the-rock,FieldOff,1234,17.32,0.0000,0.0000,55,4.00,0.000
shoot-the-rock,FieldOff,7,18.01,0.0000,0.0000,55,4.00,0.000
shoot-the-rock,FieldOff,99,17.65,0.0000,0.0000,55,4.00,0.000
shoot-the-rock,TurnAwayOff,1234,19.07,0.0000,0.0000,55,4.00,4.056
shoot-the-rock,TurnAwayOff,7,18.39,0.0000,0.0000,55,4.00,1.796
shoot-the-rock,TurnAwayOff,99,18.19,0.0000,0.0000,55,4.00,3.793
shoot-the-rock,BothOff,1234,17.32,0.0000,0.0000,55,4.00,0.000
shoot-the-rock,BothOff,7,18.01,0.0000,0.0000,55,4.00,0.000
shoot-the-rock,BothOff,99,17.65,0.0000,0.0000,55,4.00,0.000
missile-drag,BothOn,1234,320.62,0.0000,0.0000,0,0.00,0.000
missile-drag,BothOn,7,313.23,0.0000,0.0000,0,0.00,0.000
missile-drag,BothOn,99,304.08,0.0000,0.0000,0,0.00,0.000
missile-drag,FieldOff,1234,320.62,0.0000,0.0000,0,0.00,0.000
missile-drag,FieldOff,7,313.23,0.0000,0.0000,0,0.00,0.000
missile-drag,FieldOff,99,304.08,0.0000,0.0000,0,0.00,0.000
missile-drag,TurnAwayOff,1234,302.84,0.0000,0.0000,0,0.00,0.000
missile-drag,TurnAwayOff,7,312.37,0.0000,0.0000,0,0.00,0.000
missile-drag,TurnAwayOff,99,323.80,0.0000,0.0000,0,0.00,0.000
missile-drag,BothOff,1234,302.84,0.0000,0.0000,0,0.00,0.000
missile-drag,BothOff,7,312.37,0.0000,0.0000,0,0.00,0.000
missile-drag,BothOff,99,323.80,0.0000,0.0000,0,0.00,0.000
minefield-transit,FieldZeroed,1234,0.40,0.0000,0.0000,68,,
minefield-transit,FieldZeroed,7,1.25,0.0000,0.0000,68,,
minefield-transit,FieldZeroed,99,0.95,0.0000,0.0000,68,,
