layout,aligned,wTerminalField,seed,finalRange,travelled,collisionStepFraction,threatStepFraction,fieldBakes,meanTerminalCost
11,0,1.00,1234,197.10,167.7,0.0000,0.0000,75,23.366
11,0,1.00,7,209.38,289.4,0.0000,0.0000,75,17.697
11,0,0.30,1234,134.87,69.9,0.0000,0.0000,75,11.193
11,0,0.30,7,167.49,87.3,0.0000,0.0000,75,9.738
11,0,0.10,1234,41.92,119.5,0.0000,0.0000,75,3.702
11,0,0.10,7,29.85,124.9,0.0000,0.0000,75,3.599
11,0,0.03,1234,44.37,106.8,0.0000,0.0000,75,1.564
11,0,0.03,7,13.87,153.8,0.0000,0.0000,75,1.133
11,0,0.00,1234,54.38,129.4,0.0000,0.0000,75,0.000
11,0,0.00,7,88.00,52.4,0.0000,0.0000,75,0.000
11,1,1.00,1234,6.56,135.0,0.0000,0.0000,75,20.271
11,1,1.00,7,111.94,91.5,0.0000,0.0000,75,47.634
11,1,0.30,1234,140.00,0.0,0.0000,0.0000,75,19.298
11,1,0.30,7,140.00,0.0,0.0000,0.0000,75,19.298
11,1,0.10,1234,140.00,0.0,0.0000,0.0000,75,6.433
11,1,0.10,7,140.00,0.0,0.0000,0.0000,75,6.433
11,1,0.03,1234,68.05,74.4,0.0000,0.0000,75,2.047
11,1,0.03,7,140.00,0.0,0.0000,0.0000,75,1.930
11,1,0.00,1234,121.01,19.0,0.0000,0.0000,75,0.000
11,1,0.00,7,140.00,0.0,0.0000,0.0000,75,0.000
22,0,1.00,1234,6.40,146.2,0.0000,0.0000,75,22.608
22,0,1.00,7,72.66,145.5,0.0000,0.0000,75,33.768
22,0,0.30,1234,16.77,143.3,0.0000,0.0000,75,11.649
22,0,0.30,7,100.38,137.5,0.0000,0.0000,75,10.079
22,0,0.10,1234,176.99,128.4,0.0000,0.0000,75,4.780
22,0,0.10,7,106.02,35.5,0.0000,0.0000,75,7.840
22,0,0.03,1234,42.54,115.8,0.0000,0.0000,75,0.993
22,0,0.03,7,13.74,152.9,0.0000,0.0000,75,1.113
22,0,0.00,1234,5.33,137.0,0.0000,0.0000,75,0.000
22,0,0.00,7,186.00,59.0,0.0000,0.0000,75,0.000
22,1,1.00,1234,18.77,144.5,0.0000,0.0000,75,28.834
22,1,1.00,7,139.59,7.2,0.0000,0.0000,75,50.363
22,1,0.30,1234,131.67,10.6,0.0000,0.0000,75,17.372
22,1,0.30,7,119.96,20.1,0.0000,0.0000,75,17.986
22,1,0.10,1234,140.00,0.0,0.0000,0.0000,75,5.857
22,1,0.10,7,140.00,0.0,0.0000,0.0000,75,5.857
22,1,0.03,1234,140.00,0.0,0.0000,0.0000,75,1.757
22,1,0.03,7,140.00,0.0,0.0000,0.0000,75,1.757
22,1,0.00,1234,163.85,124.8,0.0000,0.0000,75,0.000
22,1,0.00,7,140.00,0.0,0.0000,0.0000,75,0.000
